종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"363250","진시스템","KOSDAQ","의료·정밀기기","7140","210","3.03","49872100320"
"007370","진양제약","KOSDAQ","제약","5590","-50","-0.89","67174342430"
"285800","진영","KOSDAQ","화학","3790","-25","-0.66","66238853300"
"085660","차바이오텍","KOSDAQ","제약","17730","30","0.17","998455074390"
"261780","차백신연구소","KOSDAQ","기타서비스","4800","40","0.84","128313979200"
"094850","참좋은여행","KOSDAQ","기타서비스","7020","40","0.57","98280000000"
"004650","창해에탄올","KOSDAQ","음식료·담배","9000","-30","-0.33","82717965000"
"278280","천보","KOSDAQ","화학","77400","-2000","-2.52","774000000000"
"362320","청담글로벌","KOSDAQ","유통","7770","70","0.91","159683523300"
"066360","체리부로","KOSDAQ","음식료·담배","1051","-6","-0.57","50397567765"
"047820","초록뱀미디어","KOSDAQ","오락·문화","5400","0","0.00","132051222000"
"094360","칩스앤미디어","KOSDAQ","반도체","25900","900","3.60","539318911600"
"016790","카나리아바이오","KOSDAQ","음식료·담배","994","0","0.00","187340898626"
"016920","카스","KOSDAQ","유통","1486","-7","-0.47","39369397468"
"284620","카이노스메드","KOSDAQ","기타서비스","2480","-140","-5.34","69247542080"
"293490","카카오게임즈","KOSDAQ","디지털컨텐츠","20550","-400","-1.91","1697960539350"
"042000","카페24","KOSDAQ","인터넷","16070","-160","-0.99","389746577780"
"317530","캐리소프트","KOSDAQ","오락·문화","4415","-120","-2.65","30777830340"
"071850","캐스텍코리아","KOSDAQ","운송장비·부품","1800","73","4.23","29824538400"
"050110","캠시스","KOSDAQ","IT부품","1415","-12","-0.84","104461126970"
"452300","캡스톤파트너스","KOSDAQ","금융","4440","90","2.07","62429752200"
"119860","커넥트웨이브","KOSDAQ","인터넷","13810","-560","-3.90","645578597230"
"451760","컨텍","KOSDAQ","통신서비스","17510","-710","-3.90","255458923160"
"900310","컬러레이","KOSDAQ","금융","770","14","1.85","49312089750"
"078340","컴투스","KOSDAQ","디지털컨텐츠","39050","-450","-1.14","497409332750"
"063080","컴투스홀딩스","KOSDAQ","디지털컨텐츠","32950","200","0.61","217311576400"
"307930","컴퍼니케이","KOSDAQ","금융","6760","130","1.96","105523600000"
"079190","케스피온","KOSDAQ","통신장비","776","-2","-0.26","29763878864"
"263700","케어랩스","KOSDAQ","기타서비스","4060","-160","-3.79","78821652000"
"214370","케어젠","KOSDAQ","제약","22700","1050","4.85","1219330500000"
"221980","케이디켐","KOSDAQ","화학","11900","0","0.00","48014120000"
"038530","케이바이오","KOSDAQ","유통","291","-1","-0.34","33672874977"
